
admin,Banker closed the system.,2021-05-26 21:32:07,main

System accessed at: 2021-05-26 21:52:47, , , thread_name
admin,Connected to the admin system,2021-05-26 21:52:50,main
admin,Banker administrative side option selected: 0,2021-05-26 21:52:55,main
admin,Banker closed the system.,2021-05-26 21:52:55,main

System accessed at: 2021-05-26 21:54:20, , , thread_name
admin,Connected to the admin system,2021-05-26 21:54:22,main
admin,Banker administrative side option selected: 1,2021-05-26 21:54:24,main

System accessed at: 2021-05-26 21:55:07, , , thread_name
admin,Connected to the admin system,2021-05-26 21:55:11,main
admin,Banker administrative side option selected: 1,2021-05-26 21:55:12,main

System accessed at: 2021-05-26 21:56:31, , , thread_name
admin,Connected to the admin system,2021-05-26 21:56:34,main
admin,Banker administrative side option selected: 1,2021-05-26 21:56:35,main

System accessed at: 2021-05-26 21:57:34, , , thread_name
admin,Connected to the admin system,2021-05-26 21:57:37,main
admin,Banker administrative side option selected: 1,2021-05-26 21:57:38,main

System accessed at: 2021-05-26 21:58:28, , , thread_name
admin,Connected to the admin system,2021-05-26 21:58:30,main
admin,Banker administrative side option selected: 1,2021-05-26 21:58:31,main
admin,Banker customer side option selected: 1,2021-05-26 21:58:38,main
admin,Banker customer side option selected: 3,2021-05-26 21:58:43,main
admin,Banker closed the system.,2021-05-26 21:58:43,main

System accessed at: 2021-05-26 22:22:16, , , thread_name
admin,Connected to the admin system,2021-05-26 22:22:19,main
admin,Banker administrative side option selected: 1,2021-05-26 22:22:20,main

System accessed at: 2021-05-26 22:23:12, , , thread_name
admin,Connected to the admin system,2021-05-26 22:23:14,main
admin,Banker administrative side option selected: 1,2021-05-26 22:23:15,main

System accessed at: 2021-05-26 22:26:12, , , thread_name
admin,Connected to the admin system,2021-05-26 22:26:15,main
admin,Banker administrative side option selected: 1,2021-05-26 22:26:15,main

System accessed at: 2021-05-26 22:26:50, , , thread_name
admin,Connected to the admin system,2021-05-26 22:26:54,main

System accessed at: 2021-05-26 22:27:03, , , thread_name
admin,Connected to the admin system,2021-05-26 22:27:06,main
admin,Banker administrative side option selected: 1,2021-05-26 22:27:07,main
admin,Banker customer side option selected: 1,2021-05-26 22:27:10,main

System accessed at: 2021-05-26 23:05:38, , , thread_name
admin,Connected to the admin system,2021-05-26 23:05:41,main
admin,Banker administrative side option selected: 0,2021-05-26 23:05:42,main
admin,Banker closed the system.,2021-05-26 23:05:42,main

System accessed at: 2021-05-26 23:06:20, , , thread_name
admin,Connected to the admin system,2021-05-26 23:06:22,main
admin,Banker administrative side option selected: 1,2021-05-26 23:06:24,main

System accessed at: 2021-05-26 23:07:16, , , thread_name
